Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-DD-AADU-01,0.127546191,0,0.057716177,0.012935729,0,0.028343039,0,0.041343998,0,0,0,0.103405354,0,0.177172755,0.047024887,0.267824367,0,0,0,0.136687502,0,0,0.31,0.047162097,1.094576454
TCGA-EP-A3RK-01,0.04499239,0,0,0.092013175,0,0.085678076,0,0.084184468,0.057100458,0,0.006499528,0.019848868,0.047459748,0.11113039,0.077235127,0.304661374,0.007033295,0,0.062163102,0,0,0,0.13,0.096539026,1.051949615
TCGA-CC-A5UD-01,0.069562223,0,0.026790977,0.113075309,0,0.069818338,0,0.084395951,0.026811825,0,0.036186971,0.022407486,0.039492401,0,0.132435032,0.339511497,0,0.002732759,0.03677923,0,0,0,0.79,-0.016939771,1.103902576
TCGA-CC-A9FV-01,0.006775571,0,0.0088698,0.027346034,0,0.173704186,0,0.01569422,0.028038289,0,0.006376322,0.040087838,0.020472925,0,0,0.505085332,0,0.003929342,0.163620141,0,0,0,0.06,0.20362565,1.015800003
TCGA-DD-AAEE-01,0.042479214,0,0.005540717,0,0,0.1563912,0,0.009455563,0.040895494,0.010791519,0.011770628,0.030254122,0.032975656,0.286385678,0.060774434,0.068821278,0.008477489,0,0.234987007,0,0,0,0.22,0.075240064,1.07073332
TCGA-ZS-A9CF-02,0.077484072,0,0,0.039775595,0,0.302201579,0,0.034697191,0.066762451,0,0,0.05326175,0.035230905,0.023438422,0.114960244,0.179948203,0.027476477,0,0.04476311,0,0,0,0.8,-0.019156717,1.104125649
TCGA-ZS-A9CF-01,0.059994405,0,0,0.02630947,0,0.278383476,0,0.075125525,0.04323812,0,0,0.043294581,0.021993594,0.054828491,0.139016075,0.196896368,0.017726077,0,0.043193817,0,0,0,0.35,0.037942679,1.08388512
TCGA-RC-A6M4-01,0.070444946,0,0.002635297,0,0.014940183,0.088305984,0,0.008869135,0.071357411,0,0,0.071351291,0.024397913,0.071449231,0.085844804,0.394792564,0.003271619,0,0.092339622,0,0,0,0.74,-0.009791255,1.104358365
TCGA-G3-A7M8-01,0.000209532,0.002077199,0.008702073,0,0,0.376820832,0,0.013560839,0.003423086,0,0.024573273,0.066414222,0.061833983,0.034412961,0.009000836,0.276837378,0.00022437,0,0.119301314,0,0,0.002608102,0.92,-0.03523802,1.10727515
TCGA-DD-AAVP-01,0.015371322,0,0,0,0.000948739,0.159224601,0,0.087194414,0.030921603,0,0.088782352,0,0.063745497,0.112637934,0.131393372,0.03080675,0.016658458,0,0.262314958,0,0,0,0.35,0.039813586,1.081396229
TCGA-UB-A7ME-01,0.051926933,0,0,0.127792161,0,0.19396649,0,0.08875775,0.088188353,0,0,0.03815967,0,0.202620533,0.091845147,0.092814235,0,0,0.023928728,0,0,0,0.13,0.101201879,1.063788179
TCGA-DD-A4NR-01,0.005476065,0,0.011336142,0.226022018,0,0.002963021,0.027322824,0.073755175,0.111529927,0,0.051483056,0,0.024473345,0.113339899,0.043249344,0.289186396,0,0,0.019427038,0,0,0.000435751,0.05,0.214988514,1.005740129
TCGA-G3-A25U-01,0.102567327,0,0.037361825,0.007402282,0,0.095839668,0,0.021617278,0.039248873,0,0.08020697,0.015356,0.089676888,0,0.109968774,0.297513383,0,0,0.051038188,0,0,0.052202543,0.77,-0.014962515,1.093535265
TCGA-DD-AAE6-01,0.20185331,0,0.190212066,0.021283286,0,0.10610971,0,0.01550677,0.043090769,0,0.040850763,0.012869183,0.047310545,0,0.007244835,0.182174979,0,0.003732377,0.127761408,0,0,0,0.99,-0.049624674,1.078799156
TCGA-G3-AAV2-01,0.003748161,0.003726661,0.009316041,0,0.080265973,0.130036491,0,0.006256129,0.011413115,0,0.036860142,0.059035359,0.109599362,0.097480273,0.002728475,0.07342284,0.011492625,0,0.362479047,0,0,0.002139306,0.54,0.0103436,1.104930318
TCGA-BC-A10Z-11,0.00358402,0.000660452,0.001612394,0.105494397,0,0.200678506,0,0.123387285,0.001768586,0,0,0.054225614,0.072371831,0.24508771,0.008210241,0.140523667,0,0,0.032146419,0,0,0.010248878,0.36,0.033426101,1.093622857
TCGA-ZP-A9CY-01,0.021356128,0,0.007748943,0,0.055404943,0.16136596,0,0.001711267,0.090249064,0,0.080372638,0.049013692,0.081923576,0.124056267,0.024631147,0.175127457,0.000110013,0,0.121364731,0,0,0.005564176,0.35,0.03859714,1.070268145
TCGA-DD-A39Y-01,0.013427779,0,0.023242083,0.062481739,0,0.105939738,0,0.020246644,0.113437519,0,0,0.05854813,0.000237371,0.081600967,0.016158305,0.439066939,0.02708865,0,0.038524136,0,0,0,0.87,-0.025841003,1.116842105
TCGA-DD-A115-01,0,0,0,0,0,0.300239465,0,0.142379851,0.001723084,0,0,0.009229044,0.047989555,0.052349297,0.079940829,0.232240041,0.001549694,0,0.13235914,0,0,0,0.52,0.012557985,1.08433851
TCGA-FV-A3I0-11,0.028086064,0,0.000422227,0,0,0.423600104,0,0.012225868,0.004482392,0,0.037672665,0.07132277,0.131234322,0.070019386,0.035335961,0.050732617,0,0,0.113866722,0,0,0.020998901,0.75,-0.011107949,1.101949268
