x,y,real_dapi,real_foxp3,real_cd19,real_cd68,real_cd4,real_cd3,real_cd8,real_sampleaf,fake_dapi,fake_foxp3,fake_cd19,fake_cd68,fake_cd4,fake_cd3,fake_cd8,fake_sampleaf
75981,29683,25.243,7.118,3.657,12.508,7.482,29.549,17.315,14.019,25.578,5.69,3.287,12.695,13.464,11.118,20.802,10.983
49357,56307,23.824,6.815,4.929,14.411,12.651,29.594,17.447,12.281,17.493,8.401,3.098,18.244,12.501,16.959,27.038,25.754
71885,71667,75.409,15.652,7.144,32.902,11.694,39.731,41.053,31.928,56.238,13.348,4.529,34.517,10.454,15.003,48.692,16.591
41165,64499,30.238,4.981,3.698,10.564,6.136,6.93,10.988,10.507,31.345,8.293,2.344,9.572,9.113,9.774,31.119,26.137
58573,60403,35.801,5.2,3.698,10.85,6.317,6.865,10.559,10.228,33.585,5.895,3.014,15.188,13.117,18.68,15.721,17.383
29901,52211,35.672,5.078,3.767,11.059,6.6,7.217,10.967,9.94,33.256,5.599,2.99,15.5,16.444,11.38,17.82,18.22
19661,4083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.132,7.049,2.828,18.633,9.791,15.768,27.263,16.316
64717,67571,34.9,4.188,4.429,9.031,5.785,4.998,8.099,8.747,30.358,7.563,2.954,14.947,8.124,0.296,17.794,26.727
32973,58355,40.707,5.247,4.73,9.517,7.714,5.1,10.396,9.191,27.793,7.614,2.969,17.579,9.321,7.609,25.417,27.488
55501,12275,21.677,5.555,3.367,9.355,6.159,31.604,13.774,12.346,18.002,4.017,2.439,7.793,9.112,9.14,12.081,8.727
28877,31731,31.084,8.148,4.99,20.344,8.143,26.372,20.558,15.004,32.34,8.059,3.295,24.995,14.5,17.505,35.184,17.631
9421,4083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.853,4.203,2.764,7.217,10.6,9.324,10.364,9.559
33997,31731,21.976,7.378,4.219,15.034,8.855,28.245,18.764,14.403,23.227,6.407,3.289,17.139,13.68,13.424,23.757,13.494
31949,16371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.377,4.598,3.197,10.39,10.025,4.335,15.265,11.004
75981,17395,32.485,5.993,2.093,12.211,3.914,17.125,14.179,13.068,28.377,4.932,2.629,12.872,9.158,6.922,17.341,11.019
33997,8179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.729,4.452,3.461,12.699,16.121,3.633,17.93,11.049
87245,47091,22.775,8.894,3.914,15.385,7.36,29.722,20.844,18.408,21.694,7.77,2.752,15.903,7.498,9.034,22.532,12.662
57549,57331,52.28,8.594,5.42,16.484,16.661,25.599,22.107,14.704,34.314,7.318,3.196,16.971,16.375,6.666,30.985,13.794
30925,27635,1.128,1.875,1.496,1.697,2.473,3.823,1.222,6.008,14.519,3.13,1.969,8.537,9.171,4.66,11.137,15.159
70861,41971,29.711,8.494,4.451,15.947,10.813,26.351,20.429,16.367,13.468,4.98,2.818,10.757,11.412,14.592,14.996,6.19
60621,74739,32.807,4.287,2.719,9.407,5.694,4.788,8.891,8.974,24.627,4.003,2.666,11.411,6.101,-2.565,10.162,13.564
18637,74739,19.757,6.619,4.254,17.142,13.115,29.408,17.156,13.601,17.805,6.297,2.989,20.86,14.801,10.203,22.71,16.357
